shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYilWHn2UY,xerox,2020-12-04 17:00:37.000000,no,False,,nrc_cnrc,"b""We celebrate the grand opening of NRC-Mississauga, a new facility beside our own research center in Ontario that we worked on with the National Research Council of Canada (@nrc_cnrc). It's part of the larger Canadian Campus for Advanced Materials Manufacturing where scientists will be working on clean technologies, additive manufacturing/3D printing and more. Link in bio.""",0,0,253,7,,,
CH_0uA8HPA9,xerox,2020-11-25 02:38:05.000000,no,False,,,"b'Print up to 25% faster and in vivid neon fluorescent ink, silver, white and gold with the new Xerox Versant 280. Learn more at the link in our bio.'",0,0,143,18,,,
CH5ey1DD0bW,xerox,2020-11-22 15:31:05.000000,yes,False,,,"b'This holiday season, print in sparkling silver and gold with Xerox metallic dry ink. Learn more at the link in our bio.'",1471,5.766,183,4,,,
CHv2Vc6Fhso,xerox,2020-11-18 21:44:19.000000,no,False,,,"b'What happens when you combine high-speed inkjet printing with deeper, more vibrant colors and support for a whole new range of media? Introducing the Color Accelerator for Xerox Baltoro. Dreams do come true. Read more at the link in our bio.'",0,0,163,3,,,
CHvjpcvh_lw,xerox,2020-11-18 19:01:03.000000,no,False,dreamsinprintout,,"b'Announced today: the new Color Accelerator for Xerox Baltoro delivers richer, more vibrant, lifelike colors for inkjet printing by using advanced software to drop ink precisely from over 65,000 nozzles! More product info in bio. #DreamsInPrintOut'",0,0,164,1,,,
CHtCL1TM0jd,xerox,2020-11-17 19:30:11.000000,no,False,stem,abetterchance,"b'To encourage students of color to pursue careers in science, tech, engineering & math, Xerox is partnering with @ABetterChance to provide professional mentorship opportunities from our employees. Our goal: To increase representation in #STEM fields from current rates of 7-9% in the workforce at large.'",0,0,98,4,,,
CHqReWnA8G1,xerox,2020-11-16 17:46:07.000000,yes,False,dreamsinprintsout,,"b""Only two days left until we take the wrappers off 5 new products and 4 new features. Don't miss our #DreamsInPrintsOut event. Livestreaming free globally on Wednesday, November 18 at 11 am ET. Link in bio.""",941,8.9,147,4,,,
CHbFoE3lrYK,xerox,2020-11-10 20:14:51.000000,yes,False,,,b'Want to give your printed creations a glow up? Try Xerox fluorescent ink. Find out more at the link in our bio.',2212,1.366,160,7,,,
CHLqM6HB_Vn,xerox,2020-11-04 20:25:40.000000,no,False,,,"b""Mark your calendars: on Wednesday, Nov. 18, we're hosting a free, live global virtual event to reveal something truly special & exciting -- especially for production printers. Register now with the link in our bio!""",0,0,172,7,,,
CHAssgIlBIz,xerox,2020-10-31 14:15:47.000000,no,False,beyondcmyk,,"b""Happy Halloween! It's an unusual year, but you can still celebrate the trickiest of holidays by making cards, decorations and other printed creations glow with eerie fluorescent ink. Find out how with Xerox Adaptive CMYK+ tech. Link in bio. #BeyondCMYK""",0,0,178,2,,,
