shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIV23d4sWDB,starbucks,2020-12-03 16:00:19.000000,yes,False,b'',b'',b'Keep it cozy. :Christmas_tree: Toasted White Chocolate Mocha',140656,12.266,47623,513,,,
CITSKfDsX9V,starbucks,2020-12-02 16:01:00.000000,yes,False,b'',b'',b'Sleigh today with an Irish Cream Cold Brew. Sweet vanilla cream meets cold brew with a dash of cocoa finish\xe2\x80\x94a new way to holiday. :snowflake_selector:',288194,9.966,71419,1414,,,
CIQtTS8h7QV,starbucks,2020-12-01 16:00:19.000000,no,False,b'',b'',"b""You\xe2\x80\x99ve been there for our communities, we're here to support you. :green_heart:\n\nFor the month of December, we're offering front-line responders a free tall brewed or iced coffee at participating US stores. From all our partners, thank you.""",0,0,137654,7188,,,
CII-6SaDcuL,starbucks,2020-11-28 16:00:16.000000,no,False,b'',b'',"b'Festive comes in threes. :heart_with_ribbon: Toasted White Chocolate Mocha, Peppermint Mocha, and Caramel Brul\xc3\xa9e Latte'",0,0,168757,1745,,,
CIGaIcfjoW7,starbucks,2020-11-27 16:00:25.000000,no,False,b'',b'mariah_of_mainstreet',b'Merry and iced. :Christmas_tree::sparkles::camera:: @mariah_of_mainstreet',0,0,145410,619,,,
CH-rt-JBZxh,starbucks,2020-11-24 16:00:09.000000,no,False,b'',b'',"b'What started off as a small donation to a shelter for single mothers has grown over the years into an annual Thanksgiving feast that serves hundreds of families struggling with hunger. \n \nThe driving force behind this event is Nicole, a Starbucks store manager born and raised in Brooklyn. \n \nNicole is inspired by her mother, who is lovingly known around the neighborhood as ""Ms. Barbara"" and whose home and kitchen table is always open to the community. Following her example, Nicole has found creative ways to serve her neighbors in need, including her annual Thanksgiving dinner which will switch to a grab-and-go format this year.\n \n""I love my community. I love the people in my community,\xe2\x80\x9d Nicole says. \xe2\x80\x9cWith everything that\xe2\x80\x99s going on with social injustice and COVID, the only thing that\xe2\x80\x99s going to get us through this thing is love.""\n \nWe\'re proud to be your partner, Nicole. Thank you for helping shape a culture of community and giving. :green_heart:'",0,0,53383,205,,,
CH8HA3rA-0k,starbucks,2020-11-23 16:00:57.000000,no,False,b'caramelbruleelatte',b'',b'Coziness caramelized. :yellow_heart: #CaramelBruleeLatte',0,0,111056,1019,,,
CHxzuy-Dd9u,starbucks,2020-11-19 16:00:03.000000,no,False,b'',b'crohnicallyblonde',b'Trimmed trees and cheery cups. :Christmas_tree::sparkles: \xe2\x81\xa3\n:camera:: @crohnicallyblonde',0,0,122179,706,,,
CHvO_s2AlAQ,starbucks,2020-11-18 16:00:39.000000,yes,False,b'toastedwhitechocolatemocha',b'',b'Snowy dreams and whipped cream.:snowflake_selector: #ToastedWhiteChocolateMocha',311708,6.233,76945,723,,,
CHsqQYRH6Ee,starbucks,2020-11-17 16:01:03.000000,no,False,b'',b'',b'You look great. You always look great. :green_heart:',0,0,138588,1542,,,
CHqFXj7l0wr,starbucks,2020-11-16 16:00:14.000000,no,False,b'peppermintmocha',b'',b'Happiness in hand. :red_heart_selector: #PeppermintMocha',0,0,79969,531,,,
CHk72ejFtNa,starbucks,2020-11-14 16:01:05.000000,yes,False,b'toastedwhitechocolatemocha',b'',b'A white chocolate wonderland. :snowman_selector: #ToastedWhiteChocolateMocha',239612,10.033,77485,609,,,
CHiXCX7B6M8,starbucks,2020-11-13 16:00:42.000000,no,False,b'',b'brunothedoodledood',b'Happy Pawlidays :paw_prints::Christmas_tree: :camera:: @brunothedoodledood',0,0,146798,873,,,
CHfyOijFD_O,starbucks,2020-11-12 16:00:35.000000,no,False,"b'peppermintmocha,caramelbrul\xc3\xa9elatte,toastedwhitechocolatemocha'",b'',"b'The more, the merrier. :heart_with_ribbon: #PeppermintMocha #CaramelBrul\xc3\xa9eLatte #ToastedWhiteChocolateMocha'",0,0,179970,1970,,,
CHaooP5sGWD,starbucks,2020-11-10 16:00:34.000000,yes,False,b'caramelbrul\xc3\xa9elatte',b'',b'Sleigh Brul\xc3\xa9e. :sparkles: #CaramelBrul\xc3\xa9eLatte',327300,4.866,94182,880,,,
CHYD41IgL_C,starbucks,2020-11-09 16:00:58.000000,no,False,b'peppermintmocha',b'',"b':red_heart_selector::white_heart::red_heart_selector: Peppermint, please. :red_heart_selector::white_heart::red_heart_selector: #PeppermintMocha'",0,0,138135,1576,,,
CHSsgX7A7ig,starbucks,2020-11-07 14:00:40.000000,yes,False,"b'caramelbrul\xc3\xa9elatte,peppermintmocha,toastedwhitechocolatemocha'",b'',b'Ring in the holiday season. #CaramelBrul\xc3\xa9eLatte #PeppermintMocha #ToastedWhiteChocolateMocha',462114,15.0,103604,2273,,,
CHQCulvgNRA,starbucks,2020-11-06 13:16:55.000000,no,False,b'',b'',b'Cozy up with your merry little moment. :sparkles:',0,0,336479,4185,,,
CHNcLa4AWNu,starbucks,2020-11-05 13:01:35.000000,no,False,b'',b'',"b'From us, to you \xe2\x80\x93 holiday through and through. :wrapped_gift: We\xe2\x80\x99re gifting limited-edition Starbucks Red Cups tomorrow, November 6 with purchase of any holiday handcrafted beverage. While supplies last at participating U.S. stores. Quantities are limited.'",0,0,350780,12589,,,
CHGC8glh072,starbucks,2020-11-02 16:06:25.000000,no,False,b'',b'',b'Your vote strengthens our neighborhoods and communities. We raise a cup to you. :green_heart:',0,0,73767,669,,,
CHDddl0ATST,starbucks,2020-11-01 16:00:24.000000,no,False,b'',b'adventuresof3mily',b'Proof iced coffee can be cozy. :fallen_leaf::orange_heart: :camera:: @adventuresof3mily',0,0,189377,1151,,,
CHAx28FAZ8G,starbucks,2020-10-31 15:00:54.000000,no,False,b'',"b'ashleyp256,annalisaphotographynm,vykkyhoward,amgbeauty,ccluna18,milostagrams,katsdesign,quynhshoneylavender'","b'Happy Halloween from the sweetest cake pops, lattes and baristas. :jack-o-lantern::green_heart:\n\n:camera:: @ashleyp256 & @annalisaphotographynm, @vykkyhoward, @amgbeauty, Ashley R. (Facebook), Bree M. (Facebook), @ccluna18, @milostagrams, @katsdesign @quynhshoneylavender'",0,0,206855,850,,,
CG-M4hXn85V,starbucks,2020-10-30 14:59:28.000000,yes,False,b'halloween',b'',b'Screenshot to find your #Halloween spirit. :jack-o-lantern::orange_heart:',802706,1.0,42199,621,,,
CG7oDnHHFoD,starbucks,2020-10-29 14:59:03.000000,no,False,b'',b'childrenofmine_dc',"b'The Starbucks Foundation recently awarded Neighborhood Grants to more than 400 nonprofit organizations. These grants are focused on nonprofits serving Black, Indigenous and people of color (BIPOC) communities and each recipient was nominated by a Starbucks partner (employee).\n\nTyrone, manager of a new Starbucks community store in Washington, D.C.\xe2\x80\x99s historic Anacostia neighborhood, nominated his neighbor, the Children of Mine Youth Center.\xe2\x80\xaf (@childrenofmine_dc) \n\n\xe2\x80\x9cThis organization does what we also try to do at Starbucks \xe2\x80\x93 to provide hope, strength and inspiration for our community. Nominating them was a no-brainer for me,\xe2\x80\x9d Tyrone said.\n\nChildren of Mine has provided quiet, steadfast support of area children and families for 38 years\xe2\x80\xafthrough after-school programs, activities and meals.\n\nEugene, the center\xe2\x80\x99s executive director, said the nonprofit\xe2\x80\x99s current focus is on meals.\n\nChildren of Mine provides hearty, to-go dinners each weekday at 4 p.m., and \xe2\x80\x9cweekend bags\xe2\x80\x9d to help keep stomachs full on Saturdays and Sundays. The money from the grant will help fund hundreds of meals.\n\n\xe2\x80\x9cNobody has to be hungry,\xe2\x80\x9d said\xe2\x80\xafEugene.\n\nNew neighbors Tyrone and Eugene are excited about their similar goals to nurture and support their community \xe2\x80\x93 and they\xe2\x80\x99re just getting started. \n\nRead more: Link in bio.'",0,0,56463,190,,,
CG5Dfe1g8iX,starbucks,2020-10-28 15:01:03.000000,no,False,b'',"b'amournola,jill_fleur'","b'Trick or treat, this family has a new little pumpkin to meet. :jack-o-lantern:\n\n:camera: @amournola, @jill_fleur'",0,0,156521,722,,,
CG2erhPgYEQ,starbucks,2020-10-27 15:00:55.000000,no,False,b'',b'',b'Little acts of kindness go a long way. :green_heart::hot_beverage:',0,0,178276,1004,,,
CGz5wO1AhDW,starbucks,2020-10-26 14:59:46.000000,no,False,"b'halloween,starbuckscostume'","b'cmcoving,lola.b.boston,tashamacdaddy'",b'Our favorite #Halloween treat is seeing what delicious drinks you dress up as. Share your #StarbucksCostume with us! :orange_heart:\n\n:camera: : @cmcoving @lola.b.boston @tashamacdaddy',0,0,124227,1021,,,
CGuwSD-g3ju,starbucks,2020-10-24 15:00:48.000000,no,False,b'',b'thatgirlwithpinknails',b'Fall faves two ways:\n:fallen_leaf: Pumpkin Spice Latte\n:fallen_leaf: Salted Caramel Mocha Frappuccino:registered: drink\n:camera:: @thatgirlwithpinknails',0,0,162440,973,,,
