shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDufR1gM1F,publix,2020-11-26 15:00,no,False,,,"b'From our family to yours, happy Thanksgiving!'",0,0,671,31,702,,
CH-yUQRgZrK,publix,2020-11-24 16:57,no,False,,,"b""Continuing our tradition, Publix stores are closed on Thanksgiving Day, Thursday, November 26. We're open normal hours on Wednesday, November 25 and Friday, November 27.""",0,0,774,65,839,,
CHqacS2AdNs,publix,2020-11-16 19:04,no,False,,,b'After-dinner cocktail? Garnish this beautiful Publix Aprons:registered: recipe with whipped cream. Isn\xe2\x80\x99t fall sweet? :cocktail_glass: Drink responsibly. Be 21.',0,0,841,70,911,,
CHiTs7cgy2B,publix,2020-11-13 15:31,no,False,,,"b""Gobble, gobble!\xc2\xa0Get the family together to make these adorable coffee filter turkeys. They'll make beautiful table settings for your Thanksgiving spread. :turkey:""",0,0,827,34,861,,
CHYZROPA-2x,publix,2020-11-09 19:07,no,False,,,"b'Thanks to this simple DIY potpourri, it\xe2\x80\x99s easy to freshen up your home with the scents of fall. Which aromas make you think of fall? :fallen_leaf:'",0,0,699,33,732,,
CHBJjhTnHPY,publix,2020-10-31 18:27,no,False,,,b'Thanks for sharing your holiday spirit with us! Check out our story for some scary good pumpkins. :jack-o-lantern: Have a safe and happy Halloween!',0,0,1145,45,1190,,
CGU6iKygZkT,publix,2020-10-14 14:10,no,False,,,"b""Teatime is your time. Sip easy with seasonal twists on three classic brews. What's your favorite fall flavor? :jack-o-lantern:""",0,0,887,68,955,,
CGFsLyJAPLO,publix,2020-10-08 16:16,no,False,,,"b'Kids will love these spider hot dogs! Of course, it\xe2\x80\x99s a fun choice for adults, too\xe2\x80\x94we\xe2\x80\x99re all kids at heart on Halloween!'",0,0,787,43,830,,
CFz5P6hAnsa,publix,2020-10-01 18:23,no,False,publix,,"b'Spend a night in with the family making these sweet potato jack-o\xe2\x80\x99-lanterns. Peel, slice, and carve using a small knife and your imagination to bring your creations to life. Share yours using #Publix. :roasted_sweet_potato:\xe2\x80\x8b'",0,0,1156,46,1202,,
CFurgLog9lF,publix,2020-09-29 17:47,no,False,,,"b'Happy birthday, Mr. George! Today, we celebrate the man who started it all.'",0,0,6300,455,6755,,
CFSdfHtA8OS,publix,2020-09-18 18:46,no,False,,,"b'Relax on the porch and cool down with our sweet, citrusy 90th anniversary iced tea. Available for a limited time. Rocking chair not included.'",0,0,1094,119,1213,,
CFAAgVYAEjE,publix,2020-09-11 14:46,no,False,,,"b'Today, we remember\xc2\xa0the victims, heroes, and survivors of September 11, 2001.'",0,0,4230,50,4280,,
CEzSrfenWAM,publix,2020-09-06 16:16,yes,False,,,b'Serving you has been our pleasure for 90 years. Here\xe2\x80\x99s to sharing many more together. :green_heart:',9610,15.0,1046,162,1208,,
CER6TGqg_EV,publix,2020-08-24 17:07,no,False,,,"b""Watching your kids' sugar intake? Give\xc2\xa0GreenWise Organic Juice Drinks a try. They\xe2\x80\x99re made with a natural juice blend and contain zero\xc2\xa0added sugar.""",0,0,713,72,785,,
CEKbXLMABI5,publix,2020-08-21 19:22,no,False,,,b'Family meal time is family fun time! Get your little ones involved in\xc2\xa0helping prep\xc2\xa0fresh herbs and veggies from your garden.',0,0,737,58,795,,
CEEtYn2A-gS,publix,2020-08-19 14:04,no,False,,,b'GreenWise\xc2\xa0baby food. Big flavors. Bigger smiles. Because they deserve the best.',0,0,949,32,981,,
