shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGVzDRBGee,ralphlauren,2020-11-27 15:22,no,False,"rlpurplelabel,ralphlauren,rlgifts",,"b'\xe2\x80\x9cThe distinctive appeal of my Automotive Watch is the way it not only embodies, but also enhances the characteristics of the iconic car that inspired it.\xe2\x80\x9d - Ralph Lauren\n\nPaying homage to Ralph Lauren\xe2\x80\x99s passion for classic car design, the Automotive Watch collection merges industrial power with sophisticated design. Partnered with seasonal layers crafted from exclusive Italian fabrics showcasing Purple Label\xe2\x80\x99s dedication to the finest details.\n\nDiscover more from #RLPurpleLabel via the link in bio.\n\n#RalphLauren #RLGifts'",0,0,8965,35,9000,,
CIGST9BhxJ7,ralphlauren,2020-11-27 14:52,no,False,"rlpurplelabel,ralphlauren,rlgifts",,b'A fine pairing of navy and charcoal highlights the sophistication of #RLPurpleLabel every day wear. Featuring a Plaid Flannel Workshirt and a Wool-Cotton Herringbone Trouser with a buckled waistband and double-pleated front.\n\nExplore more iconic silhouettes in our versatile two-tone palette via the link in bio.\n\n#RalphLauren #RLGifts',0,0,17938,57,17995,,
CIDzSaqBvug,ralphlauren,2020-11-26 15:42,no,False,"happythanksgiving,ralphlauren",,"b'No matter where you are this holiday season, we remain together in spirit with our families and those who we love. \n\nA portrait of Ralph Lauren, and his wife, Ricky Lauren, from the Ralph Lauren photo archive. Photographed by Pamela Hanson.\n\n#HappyThanksgiving #RalphLauren'",0,0,35732,254,35986,,
CIDu0K1BeSF,ralphlauren,2020-11-26 15:03,no,False,"happythanksgiving,ralphlauren",,"b'Wishing you a #HappyThanksgiving. \n\nHowever you choose to celebrate this year, may it be a season of hope, joy, and comfort for you and those you love. \n\n#RalphLauren'",0,0,6739,36,6775,,
CIDp5O-Bm3J,ralphlauren,2020-11-26 14:20,no,False,ralphlauren,,"b'Near or far, this season we celebrate the love of our families and the joy they bring into our lives.\n\nFrom our family to yours, may you have a safe and restful Thanksgiving. \n\nPortraits of the Lauren family, from the Ralph Lauren photo archive. Photographed by Pamela Hanson.\n\n#RalphLauren'",0,0,68501,448,68949,,
CIBmJX3B5ox,ralphlauren,2020-11-25 19:09,yes,False,"ralphlauren,familyiswhoyoulove","gberlanti,robbierogers","b""For this year's Holiday campaign, we spoke with the Rogers-Berlanti family on what is important to them this Holiday season. \n\n\xe2\x80\x9cThere are so many people who need so much right now. And so when you\xe2\x80\x99re focused on other people, and giving your time or resources to the right cause, I think that is really the greatest gift of all,\xe2\x80\x9d says Greg Berlanti (@GBerlanti).\n\nHis husband, @RobbieRogers, agrees and explains how grateful he is for the little things:\n\n\xe2\x80\x9cFor us, the ultimate gift is that our family is happy and healthy together. Everything really just feels like frosting after that.\xe2\x80\x9d\n\nDiscover more stories from our Holiday campaign via the link in bio.\n\n#RalphLauren #FamilyIsWhoYouLove""",41848,23.466,6005,82,6087,,
CIBj3QlhPeC,ralphlauren,2020-11-25 18:49,no,False,"familyiswhoyoulove,ralphlauren",,"b'#FamilyIsWhoYouLove.\n\nFor this year\xe2\x80\x99s Holiday campaign, we asked eleven families from around the world to share what they are most grateful for this year. Gratitude allows us to appreciate the people present in all our lives, including intimate moments with loved ones and the bonds shared between friends.\n\nExplore more stories of togetherness and gratitude via the link in bio.\n\n#RalphLauren'",0,0,13843,49,13892,,
CIBhhjEhFUl,ralphlauren,2020-11-25 18:28,no,False,"maroitoje,ralphlauren,familyiswhoyoulove",,"b""This year, the English professional rugby player, #MaroItoje and his family joined us for our Holiday campaign. Maro admits that with the world of professional sport on hold for a good portion of the year, he was able to use the time at home to reflect on what he was most thankful for.\n\n\xe2\x80\x9cI'm grateful to be here today and to really be present in this moment,\xe2\x80\x9d says Maro.\n\nDiscover more stories from our Holiday campaign via the link in bio.\n\n#RalphLauren #FamilyIsWhoYouLove""",0,0,12805,62,12867,,
CIBOIYbBKRa,ralphlauren,2020-11-25 15:39,no,False,"alexusadechuol,awengadechuol,ralphlauren,familyiswhoyoulove",,"b'\xe2\x80\x9cMy wife is my chosen family. I would choose her in any lifetime,\xe2\x80\x9d says Alexus Ade-Chuol.\n\nNewlyweds #AlexusAdeChuol and #AwengAdeChuol, proudly embark on this unprecedented time the only way they can \xe2\x80\x94 with each other, hand in hand.\n\nDiscover more stories from our Holiday campaign via the link in bio.\n\n#RalphLauren #FamilyIsWhoYouLove'",0,0,12651,64,12715,,
CIBL7vRhYl1,ralphlauren,2020-11-25 15:20,yes,False,"ralphlauren,familyiswhoyoulove",theabduls,"b'\xe2\x80\x9cFinding your tribe does not necessarily mean your family. It just means people that get you,\xe2\x80\x9d says Sakhaa Abdul.\n\nSakhaa and her sisters, Thana and Duaa, share how fortunate they are to have each other. The three sisters are entrepreneurs who split their time between Saudi Arabia and London. @TheAbduls attribute their career success to their bond as sisters.\n\n\xe2\x80\x9cWhen we are together, happiness prevails,\xe2\x80\x9d Duaa explains. \n\nRead more stories shared by eleven families from around the world, touching on love, hope, and togetherness, via the link in bio.\n \n#RalphLauren #FamilyIsWhoYouLove'",48548,16.8,6399,30,6429,,
CH-n8s3BKgn,ralphlauren,2020-11-24 15:27,no,False,"ralphlauren,familyiswhoyoulove",,"b'Though we may not be physically together this year, the spirit of togetherness has never been more important. \n\nIn our Holiday campaign, families from around the world celebrate how love keeps them connected, no matter where they are this season.\n\nDiscover more stories of togetherness from eleven global families via the link in bio.\n\n#RalphLauren #FamilyIsWhoYouLove'",0,0,22670,123,22793,,
CH9DV8HBymx,ralphlauren,2020-11-24 00:48,no,False,"rlcollection,ralphlauren,rlgifts",,"b'Sophisticated separates inspire an elegant approach to cold-weather dressing. Garnering inspiration from Ralph Lauren\xe2\x80\x99s love of equestrian fashion, the Plaid Fringe Cashmere Sweater Cape reinterprets riding cloaks with a textured belt and charcoal-washed plaid.\n\nDiscover more from #RLCollection via the link in bio.\n\n#RalphLauren #RLGifts'",0,0,14221,69,14290,,
