shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQebRchumn,wpp,2020-12-01 13:50:20.000000,no,False,b'featuredwork',"b'pringles.uk,greyldn,grey'","b'#FeaturedWork: @pringles.uk inserts itself into a wreath, a yoga pose and more in their playful holiday campaign by @greyldn @grey :raising_hands:'",0,0,81,0,,,
CH-MCbfghWg,wpp,2020-11-24 11:23:20.000000,no,False,b'',b'theandpartnership',b'When marketing meets science fiction: @theandpartnership\xe2\x80\x99s Oliver Feldwick outlines the enormous potential AI offers to marketers and asks what the ethical challenges are to win the WPP Atticus Award in our Technology Powered-Creativity category :trophy::party_popper::clapping_hands:',0,0,36,2,,,
CH-JKoQg3gZ,wpp,2020-11-24 10:58:14.000000,no,False,"b'covid,wppiq'",b'wavemakerglobal',b'@wavemakerglobal\xe2\x80\x99s Anna Hickey outlines six lessons from the #COVID-19 crisis that brands can apply to build a successful future #WPPiQ [LINK IN BIO]',0,0,53,1,,,
CH-CYAngkcf,wpp,2020-11-24 10:04:31.000000,yes,False,b'wpptv',"b'mediacomglobal,wpp'","b""@mediacomglobal\xe2\x80\x99s Sue Unerman and @WPP's Karen Blackett OBE discuss active allyship and the importance of belonging in conversation for #WPPTV""",316,898.593,17,0,,,
CH8ckE8BlH3,wpp,2020-11-23 19:09:15.000000,no,False,b'wppiq',b'thelacekgroup',b'Using data to enhance your customer journey maps: @thelacekgroup\xe2\x80\x99s Joe Rueckert outlines why understanding customer expectations is a kind of alchemy #WPPiQ [LINK IN BIO]',0,0,39,0,,,
CH7dEB_gU2_,wpp,2020-11-23 09:54:23.000000,no,False,b'featuredwork',"b'ogilvy,ibm'",b'#FeaturedWork: Twenty playful videos make up a social series from @Ogilvy Singapore to illustrate how @ibm technology provides AI solutions across different industries',0,0,54,0,,,
CH0Bdo5gnz8,wpp,2020-11-20 12:38:31.000000,no,False,b'featuredwork',"b'aliexpress,ogilvy'",b'#FeaturedWork: @aliexpress and @ogilvy Shanghai want to bring the joy of discovery back to shopping :shopping_bags:',0,0,86,0,,,
CHz3FufgJq3,wpp,2020-11-20 11:07:52.000000,no,False,b'featuredwork',"b'wavemakerglobal,refinery29,henkel'","b'#FeaturedWork: The @wavemakerglobal Content team partnered with @refinery29 to create purpose-led content that felt authentic, champions self-expression and encourages @Henkel\xe2\x80\x99s consumers to colour their hair at home with pride :raising_hands:'",0,0,51,1,,,
CHx5zIrhsOb,wpp,2020-11-19 16:53:04.000000,no,False,b'',b'groupmworldwide',b'@groupmworldwide\xe2\x80\x99s Amy Walker outlines why agencies should be harnessing the creative power of the neurodivergent brain to win the Creativity with Purpose category in our 2020 Atticus Awards :trophy::party_popper::raising_hands:',0,0,74,0,,,
CHvcUrrgark,wpp,2020-11-18 17:58:37.000000,yes,False,b'',b'',b'WPP and Anzu.io partner to bring new in-game advertising standards to global brands',441,27.625,36,0,,,
CHu72djgzyt,wpp,2020-11-18 13:13:17.000000,no,False,b'wppiq',b'wpp',b'@wpp\xe2\x80\x99s Di Mayze explores the world of data in 2030 through four key themes [LINK IN BIO] #WPPiQ',0,0,59,0,,,
CHr_GeFAXVY,wpp,2020-11-17 09:47:58.000000,yes,False,b'',b'',b'Geometry joins VMLY&R to create leading global commerce business',1660,10.0,203,2,,,
CHr-7mcgiVF,wpp,2020-11-17 09:42:28.000000,no,False,b'',b'landorglobal',b'@landorglobal\xe2\x80\x99s Imke Schuller outlines with Eissa Khoury why for fast-growing companies culture is a critical driver of success to win the Adam Smith Grand Prix in our 2020 Atticus Awards :trophy::party_popper:',0,0,50,0,,,
CHqPlzohD61,wpp,2020-11-16 17:29:34.000000,no,False,b'wppiq',b'kantarofficial',b'@kantarofficial\xe2\x80\x99s Jason Yu on how emerging and established brands are finding their own disruptive path to success in the Chinese retail market #WPPiQ [LINK IN BIO]',0,0,58,0,,,
CHqOmQVhy1a,wpp,2020-11-16 17:20:53.000000,no,False,b'',b'',"b'Celebrating the best in original published thinking on the issues and trends shaping our industry, business and society, download the Atticus Journal on wpp.com and see it come to life by scanning the QR code on the cover :mobile_phone:'",0,0,74,1,,,
CHqFocah0sn,wpp,2020-11-16 17:18:08.000000,yes,False,b'wpptv',b'landorglobal',"b'@landorglobal\xe2\x80\x99s Jane Geraghty and Dara Marshall discuss innovation, employee wellbeing and opportunities for growth in conversation for #WPPTV'",323,793.146,23,0,,,
CHh5VfOAdIM,wpp,2020-11-13 11:43:54.000000,yes,False,"b'featuredwork,thediwaliinvite,diwali'",b'wunthompson',b'#FeaturedWork: @wunthompson and Exide BatMobile rekindle the spirit of togetherness through #TheDiwaliInvite #diwali',696,60.006,30,12,,,
CHhwut8gIM4,wpp,2020-11-13 10:25:58.000000,no,False,"b'repost,pizzahutxkfckitchen,clientwork'",b'ogilvy',"b""#Repost @ogilvy \xc2\xb7 \xc2\xb7 \xc2\xb7\n\nIt's the tastiest team-up of the year! :pizza::poultry_leg::mobile_phone:\n\nOgilvy Hong Kong helps Pizza Hut & KFC build a new mobile game to celebrate the limited-edition \xe2\x80\x98Pizza Hut x KFC Chicken Popcorn Pizza'.\n\n#pizzahutxkfckitchen #ClientWork""",0,0,85,2,,,
CHfbIn9gwtL,wpp,2020-11-12 12:38:48.000000,no,False,b'wppiq',b'gorilla.group',b'@gorilla.group\xe2\x80\x98s Justin Lambert outlines the metrics you should focus on for strategic growth #WPPiQ [LINK IN BIO]',0,0,78,0,,,
CHfKr94A2w4,wpp,2020-11-12 10:48:44.000000,yes,False,b'',"b'groupmworldwide,kantarofficial,landorglobal,mindshare,ogilvy,setcreative,theandpartnership,wunthompsonhlth'","b'Huge congratulations to our Atticus Award winners from across the WPP network :party_popper::partying_face::trophy::clapping_hands: @groupmworldwide, @kantarofficial, @landorglobal, @mindshare, @ogilvy, Ogilvy Consulting, @setcreative, @theandpartnership and @wunthompsonhlth'",1503,1.4,79,0,,,
CHdSRXUhCyw,wpp,2020-11-11 16:42:52.000000,no,False,b'',b'',b'WPP creates AKQA Group',0,0,147,2,,,
CHcu7ilg2Cv,wpp,2020-11-11 11:35:32.000000,yes,False,b'',b'',"b'Excited to announce the winners of this year\xe2\x80\x99s WPP Atticus Awards celebrating the best in original published thinking on the issues and trends shaping our industry, business and society :clapping_hands::trophy::party_popper:'",553,10.0,62,1,,,
CHatiQwBmHp,wpp,2020-11-10 16:45:28.000000,yes,False,b'featuredwork',"b'fitch_design,walmart'",b'#FeaturedWork: @fitch_design and @walmart\xe2\x80\x99s mobile-first approach to improving in-store experience :raising_hands:',502,53.05,44,0,,,
CHasxMzhLXM,wpp,2020-11-10 16:36:41.000000,no,False,b'wppiq',"b'wpp,google,kantarofficial'","b""A new study from @WPP, @google and @kantarofficial reveals the latest trends shaping the rapid growth of India's INR 730 billion beauty and personal care industry and the untapped opportunities for brands globally #WPPiQ [LINK IN BIO]""",0,0,62,0,,,
CHLB3_nhcLl,wpp,2020-11-04 14:48:07.000000,yes,False,b'wpptv',"b'tankworldwide,grey'","b'@tankworldwide\xe2\x80\x99s Akwa Onuoha, The WOW Foundation\xe2\x80\x99s Daniella Jenkins and @grey\xe2\x80\x99s Isobel Kai discuss their experiences of \xe2\x80\x9cbeing the only one\xe2\x80\x9d on #WPPTV'",304,746.073,16,0,,,
CHItEiZBzC_,wpp,2020-11-03 16:52:59.000000,no,False,b'featuredwork',"b'wunthompson,thesalvationarmy'",b'#FeaturedWork: The new Angel Tree Programme from @wunthompson Portugal and @thesalvationarmy helps struggling families have a better holiday season',0,0,40,0,,,
CHIsA0uBWOd,wpp,2020-11-03 16:43:45.000000,no,False,b'',"b'nba,wpp,adweek,grey'",b'@nba passes creative for 2020-2021 season to @WPP-backed Cartwright - via @adweek \n\n@grey',0,0,47,2,,,
CHIE_qbBKCM,wpp,2020-11-03 11:02:48.000000,no,False,"b'repost,wunthompson,sports,covid19'",b'wunthompson',"b'#Repost @wunthompson \xc2\xb7 \xc2\xb7 \xc2\xb7\n\nWith COVID brought pro sports to a standstill, the relationship between fans and sports was thrown into sharp relief. Without crowds, sports brands are still figuring out their game plan.\n.\n\xe2\x80\x98Back in the Game\xe2\x80\x99 is a new report from Wunderman Thompson Intelligence that explores emerging and future trends in the transition to a new era of digital fan engagement.\n.\nDownload your copy via our latest story!\n.\n#WunThompson #Sports #COVID19'",0,0,50,0,,,
