shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYtUVpBchm,ralphlauren,2020-12-04 18:34:23.000000,no,False,"b'denglun,rlpurplelabel,ralphlauren,rleditorials'","b'ralphlaurenfragrances,lesliezhang1992,yuyuxiaojun'","b""#DengLun, actor and a new @RalphLaurenFragrances ambassador, features on the November 2020 cover of L'Officiel Hommes China wearing #RLPurpleLabel.\n\nPhotographer: @LeslieZhang1992\nEditor and Stylist: @Yuyuxiaojun\n\n#RalphLauren #RLEditorials""",0,0,7545,40,,,
CIWkrwOhF7_,ralphlauren,2020-12-03 22:40:28.000000,no,False,"b'tanyachua,rlcollection,tsingapore,ralphlauren,rleditorials'","b'zhonglin_,reneebatchelortham,tingtinglinbunny,tingatflux,ojnjenine'",b'Singer and songwriter #TanyaChua wears the Quinton Pleated Silk Tie-Neck Shirt from #RLCollection on the cover of #TSingapore.\n\nPhotographer: @Zhonglin_ \nEditor: @ReneeBatchelorTham\nProducer and Stylist: @TingTingLinBunny\nHair: @Tingatflux\nMakeup: Venny Chen \nFashion Editor: @Ojnjenine\n\n#RalphLauren #RLEditorials',0,0,9838,54,,,
CIWPPdQBzuX,ralphlauren,2020-12-03 19:33:06.000000,no,False,"b'rosieperez,townandcountry,rlcollection,ralphlauren,rleditorials,townandcountrymag'",b'',"b'#RosiePerez features on the December/January cover of #TownAndCountry wearing the Breanne Sequined One-Shoulder Dress from #RLCollection.\n\n#RalphLauren #RLEditorials\n\nAs seen in Town & Country, December 2020 issue. Reprinted with permission of Hearst Magazine Media, Inc. Photography by Dana Scruggs. #TownAndCountryMag'",0,0,5607,29,,,
CITijsDhvLa,ralphlauren,2020-12-02 18:24:10.000000,no,False,"b'rlgifts,ralphlauren,rlpurplelabel'",b'',"b'The Bugatti 57SC Atlantic Coupe.\n\nOnly one of four ever built, it has long been one of the most legendary automobiles of all time. From the sleek wooden dashboard to the dorsal seams, every detail of the original 57SC purchased and restored by Ralph Lauren in 1988 has been replicated in this miniature 1:18 scale model. An artful reproduction of luxury and performance, it\xe2\x80\x99s the perfect gift for the fervent collector.\n\nDiscover more #RLGifts via the link in bio. \n\n#RalphLauren #RLPurpleLabel'",0,0,18391,69,,,
CITJWdZBOee,ralphlauren,2020-12-02 14:43:54.000000,no,False,"b'rlpurplelabel,ralphlauren,rlgifts'",b'',"b""An unparalleled attention to detail, long a pillar of #RLPurpleLabel style, is captured in the newest holiday accessories. \n\nExplore more of #RalphLauren's Italian-made wallets and card cases via the link in bio.\n\n#RLGifts""",0,0,9650,38,,,
CIQ7_RUhYcS,ralphlauren,2020-12-01 18:08:40.000000,no,False,"b'rlpurplelabel,ralphlauren,rlgifts'",b'',b'The gift of luxury shirting from #RLPurpleLabel. Rendered in rich fabrications custom-developed by #RalphLauren in some of the world\xe2\x80\x99s most historic mills.\n\nDiscover the ultimate in #RLGifts this year via the link in bio.',0,0,11418,49,,,
CIQixKhBP-V,ralphlauren,2020-12-01 14:28:17.000000,no,False,"b'rlgifts,rlpurplelabel,ralphlauren'",b'',"b'Among our classic #RLGifts is the Polo Shirt, the ultimate icon in the World of Ralph Lauren. Its lightweight piqu\xc3\xa9 fabric is offset by ribbed details and distinguished by its embroidered Standing Horse logo \xe2\x80\x94 exclusive to #RLPurpleLabel. \n\nDiscover the full collection via the link in bio. \n\n#RalphLauren'",0,0,38249,138,,,
CIOqC52hoQA,ralphlauren,2020-11-30 20:53:23.000000,no,False,"b'rlgifts,ralphlauren,rlpurplelabel'",b'',"b'An elegant gift any host would welcome. Every detail of the Fowler Chess Set has been carefully considered, from the intricate stitching of the hand-cut textured tiles to the metallic finishes of the playing pieces.\n\nExplore more #RLGifts via the link in bio.\n\n#RalphLauren #RLPurpleLabel'",0,0,51037,169,,,
CIOHMR_hKss,ralphlauren,2020-11-30 15:48:50.000000,no,False,"b'rlgifts,ralphlauren,rlpurplelabel'",b'',"b'Gifts of impeccable quality and taste. \n\nIn versatile shades of chestnut, the Voyager Collection is a testament to the longstanding tradition of Italian craftsmanship. Each piece is deftly hand-crafted by master artisans and burnished for a beautiful patina. \n\nDiscover the Burnished Voyager Duffel and more #RLGifts via the link in bio. \n\n#RalphLauren #RLPurpleLabel'",0,0,13992,58,,,
CILjoP7hngA,ralphlauren,2020-11-29 15:59:36.000000,no,False,"b'rlpurplelabel,ralphlauren,rlgifts'",b'',"b'Purple Label\xe2\x80\x99s iconic Cashmere-Blend Hooded Sweater is woven in Italy from the smoothest long-staple fibers. It has been reinvented in elevated leisure form, destined for a winter of ultimate relaxation. \n\nExplore more from #RLPurpleLabel via the link in bio.\n\n#RalphLauren #RLGifts'",0,0,23711,76,,,
CILeyOZBvfw,ralphlauren,2020-11-29 15:17:16.000000,no,False,"b'rlpurplelabel,rlgifts,ralphlauren'",b'',"b'Demonstrating the highest degree of hand craftsmanship, #RLPurpleLabel accessories are cut, sewn, detailed, and burnished to perfection. The result is a beautiful depth of color further complemented by polished brass hardware. Shown here, the softly constructed bags add a final touch of considered refinement to the season\xe2\x80\x99s luxury loungewear.\n\nDiscover more Purple Label #RLGifts via the link in bio.\n\n#RalphLauren'",0,0,16118,43,,,
CII8B4qhDBZ,ralphlauren,2020-11-28 15:35:06.000000,no,False,"b'rlpurplelabel,ralphlauren,rlgifts'",b'',"b'Quality loungewear in ultrasoft fabrications set a new mood for the season, while the Cable-Knit Cashmere Sweater continues its statement as an essential element of the #RLPurpleLabel men\xe2\x80\x99s collections.\n\nExplore more of the collection via the link in bio.\n\n#RalphLauren #RLGifts'",0,0,38629,158,,,
CIIxHmTB6g7,ralphlauren,2020-11-28 13:59:45.000000,no,False,"b'rlpurplelabel,ralphlauren,rlgifts'",b'',"b'A masterclass in modern elegance, a rich mix of wool, cashmere, and tonal shades, Ralph Lauren elevates his most classic styles.\n\nDiscover more #RLPurpleLabel looks including the Cashmere Sport Coat via the link in bio.\n\n#RalphLauren #RLGifts'",0,0,18813,44,,,
CIGVzDRBGee,ralphlauren,2020-11-27 15:22:32.000000,no,False,"b'rlpurplelabel,ralphlauren,rlgifts'",b'',"b'\xe2\x80\x9cThe distinctive appeal of my Automotive Watch is the way it not only embodies, but also enhances the characteristics of the iconic car that inspired it.\xe2\x80\x9d - Ralph Lauren\n\nPaying homage to Ralph Lauren\xe2\x80\x99s passion for classic car design, the Automotive Watch collection merges industrial power with sophisticated design. Partnered with seasonal layers crafted from exclusive Italian fabrics showcasing Purple Label\xe2\x80\x99s dedication to the finest details.\n\nDiscover more from #RLPurpleLabel via the link in bio.\n\n#RalphLauren #RLGifts'",0,0,13821,59,,,
CIGST9BhxJ7,ralphlauren,2020-11-27 14:52:05.000000,no,False,"b'rlpurplelabel,ralphlauren,rlgifts'",b'',b'A fine pairing of navy and charcoal highlights the sophistication of #RLPurpleLabel every day wear. Featuring a Plaid Flannel Workshirt and a Wool-Cotton Herringbone Trouser with a buckled waistband and double-pleated front.\n\nExplore more iconic silhouettes in our versatile two-tone palette via the link in bio.\n\n#RalphLauren #RLGifts',0,0,26764,84,,,
CIDzSaqBvug,ralphlauren,2020-11-26 15:42:30.000000,no,False,"b'happythanksgiving,ralphlauren'",b'',"b'No matter where you are this holiday season, we remain together in spirit with our families and those who we love. \n\nA portrait of Ralph Lauren, and his wife, Ricky Lauren, from the Ralph Lauren photo archive. Photographed by Pamela Hanson.\n\n#HappyThanksgiving #RalphLauren'",0,0,38253,281,,,
CIDu0K1BeSF,ralphlauren,2020-11-26 15:03:25.000000,no,False,"b'happythanksgiving,ralphlauren'",b'',"b'Wishing you a #HappyThanksgiving. \n\nHowever you choose to celebrate this year, may it be a season of hope, joy, and comfort for you and those you love. \n\n#RalphLauren'",0,0,7432,39,,,
CIDp5O-Bm3J,ralphlauren,2020-11-26 14:20:25.000000,no,False,b'ralphlauren',b'',"b'Near or far, this season we celebrate the love of our families and the joy they bring into our lives.\n\nFrom our family to yours, may you have a safe and restful Thanksgiving. \n\nPortraits of the Lauren family, from the Ralph Lauren photo archive. Photographed by Pamela Hanson.\n\n#RalphLauren'",0,0,71168,468,,,
CIBmJX3B5ox,ralphlauren,2020-11-25 19:09:26.000000,yes,False,"b'ralphlauren,familyiswhoyoulove'","b'gberlanti,robbierogers'","b""For this year's Holiday campaign, we spoke with the Rogers-Berlanti family on what is important to them this Holiday season. \n\n\xe2\x80\x9cThere are so many people who need so much right now. And so when you\xe2\x80\x99re focused on other people, and giving your time or resources to the right cause, I think that is really the greatest gift of all,\xe2\x80\x9d says Greg Berlanti (@GBerlanti).\n\nHis husband, @RobbieRogers, agrees and explains how grateful he is for the little things:\n\n\xe2\x80\x9cFor us, the ultimate gift is that our family is happy and healthy together. Everything really just feels like frosting after that.\xe2\x80\x9d\n\nDiscover more stories from our Holiday campaign via the link in bio.\n\n#RalphLauren #FamilyIsWhoYouLove""",73004,23.466,8940,141,,,
CIBj3QlhPeC,ralphlauren,2020-11-25 18:49:15.000000,no,False,"b'familyiswhoyoulove,ralphlauren'",b'',"b'#FamilyIsWhoYouLove.\n\nFor this year\xe2\x80\x99s Holiday campaign, we asked eleven families from around the world to share what they are most grateful for this year. Gratitude allows us to appreciate the people present in all our lives, including intimate moments with loved ones and the bonds shared between friends.\n\nExplore more stories of togetherness and gratitude via the link in bio.\n\n#RalphLauren'",0,0,14360,55,,,
CIBhhjEhFUl,ralphlauren,2020-11-25 18:28:48.000000,no,False,"b'maroitoje,ralphlauren,familyiswhoyoulove'",b'',"b""This year, the English professional rugby player, #MaroItoje and his family joined us for our Holiday campaign. Maro admits that with the world of professional sport on hold for a good portion of the year, he was able to use the time at home to reflect on what he was most thankful for.\n\n\xe2\x80\x9cI'm grateful to be here today and to really be present in this moment,\xe2\x80\x9d says Maro.\n\nDiscover more stories from our Holiday campaign via the link in bio.\n\n#RalphLauren #FamilyIsWhoYouLove""",0,0,13488,64,,,
CIBOIYbBKRa,ralphlauren,2020-11-25 15:39:20.000000,no,False,"b'alexusadechuol,awengadechuol,ralphlauren,familyiswhoyoulove'",b'',"b'\xe2\x80\x9cMy wife is my chosen family. I would choose her in any lifetime,\xe2\x80\x9d says Alexus Ade-Chuol.\n\nNewlyweds #AlexusAdeChuol and #AwengAdeChuol, proudly embark on this unprecedented time the only way they can \xe2\x80\x94 with each other, hand in hand.\n\nDiscover more stories from our Holiday campaign via the link in bio.\n\n#RalphLauren #FamilyIsWhoYouLove'",0,0,13044,68,,,
CIBL7vRhYl1,ralphlauren,2020-11-25 15:20:25.000000,yes,False,"b'ralphlauren,familyiswhoyoulove'",b'theabduls',"b'\xe2\x80\x9cFinding your tribe does not necessarily mean your family. It just means people that get you,\xe2\x80\x9d says Sakhaa Abdul.\n\nSakhaa and her sisters, Thana and Duaa, share how fortunate they are to have each other. The three sisters are entrepreneurs who split their time between Saudi Arabia and London. @TheAbduls attribute their career success to their bond as sisters.\n\n\xe2\x80\x9cWhen we are together, happiness prevails,\xe2\x80\x9d Duaa explains. \n\nRead more stories shared by eleven families from around the world, touching on love, hope, and togetherness, via the link in bio.\n \n#RalphLauren #FamilyIsWhoYouLove'",80963,16.8,8957,48,,,
