shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY9WqeJmJr,adobe,2020-12-04 20:55:48.000000,yes,False,adobemax,,"b'Creativity through opportunity. That\xe2\x80\x99s the CoCreate: MAX story, and we\xe2\x80\x99re just getting started. Hit the link in our bio to learn all about our cocreators, and stick with us for more CoCreate opportunities in 2021. #AdobeMAX'",8483,59.925,1129,24,,,
CIWGUQ0prXE,adobe,2020-12-03 18:15:41.000000,yes,False,creativityforall,"yarashahidi,melodyehsani",b'How did @yarashahidi and @melodyehsani stay creative during the \xe2\x80\x9cyear of the pivot?\xe2\x80\x9d Watch the latest episode of Create Change at the link in our bio to get inspired. #CreativityForAll',26675,44.366,1075,14,,,
CITekL0p10w,adobe,2020-12-02 17:49:17.000000,no,False,womencreatewednesday,annika.izora,"b""Drawing strength from her own identity and inspiration from all around her, queer Black artist @annika.izora creates work that gives others a voice. :raising_hands: Learn how she uses creativity to create space in this week's #WomenCreateWednesday.""",0,0,1657,19,,,
CIRWd0ppRy3,adobe,2020-12-01 22:00:01.000000,no,False,,charlysavely,b'One more magical getaway to add to your bucket list. :smiling_face_with_heart-eyes: @charlysavely captures a reflective treehouse in Sweden.',0,0,5746,48,,,
CIO6knsJpUZ,adobe,2020-11-30 23:17:48.000000,no,False,,"crystalkayiza,crowezilla,barryyusufu","b'Black creativity can\xe2\x80\x99t be painted in a single stroke, and the work that it inspires represents a spectrum of backgrounds, disciplines, and stories. Meet some of the artists from our ""When I See Black"" film:\n\nAward-winning non-fiction filmmaker @crystalkayiza aims to see true artistic freedom in a space that needs change. ""We need to open up so that people can build avenues to explore their voice."" \n\nFamily and tradition are key for @crowezilla - her ""Braids"" exhibition was a project she\'d been planning since childhood. Shani\'s art is an unapologetic reflection of herself, her community, and the beauty she sees in all of it.\n\nNigerian artist @barryyusufu aims to ""paint people in a way that they should be admired."" His regal portraits are steeped with symbolism to create a broader understanding of Blackness.\n\nCheck out the link in our bio to watch the full film and meet the artists.'",0,0,2375,11,,,
CIGWLCnpcTD,adobe,2020-11-27 15:25:49.000000,no,False,,marcelonava_,b'Cycling through the city. :person_biking: Captured by @marcelonava_',0,0,3608,28,,,
CIBRTwKpsDT,adobe,2020-11-25 16:07:06.000000,no,False,womencreatewednesday,heatherday,"b""Fine artist @heatherday knows how to expand her creativity\xe2\x80\x94whether she's taking her work to new heights in a large-scale mural or adding a new dimension of design through augmented reality. :artist_palette: We partnered with her to learn how digital tools help bring her creativity to life. Want to see Heather at work? Just click the link in our bio. #WomenCreateWednesday""",0,0,2149,21,,,
CH_kRm_puQw,adobe,2020-11-25 00:14:22.000000,no,False,creativityforall,"complex,briapaints,jveloz,winnie.weston,vactuart,danascruggs",b'Explore the spectrum of Black creativity featured in this year\xe2\x80\x99s When I See Black exhibit at @Complex\xe2\x80\x99s ComplexLand. Discover Black creators celebrating their experiences through the power of their imagination. Check out the link in bio for more. #CreativityForAll\n\nFeaturing:\n@briapaints\n@jveloz\n@winnie.weston\n@vactuart \n@danascruggs',0,0,3012,22,,,
CH-2wQIpXOc,adobe,2020-11-24 17:37:41.000000,yes,False,creativityforall,"mreddiehuang,gregoryportermusic",b'How can creativity help us heal? Join in on this powerful Create Change conversation between writer/director @MrEddieHuang and musician @GregoryPorterMusic. :clapping_hands: Link in bio for the full episode. #CreativityForAll',78688,43.66,2231,9,,,
CH89hJjpxce,adobe,2020-11-23 23:57:13.000000,no,False,,"temi.coker,4everestherr,yannisdavy","b'Black creativity can\xe2\x80\x99t be painted in a single stroke, and the work that it inspires represents a spectrum of backgrounds, disciplines, and stories. Meet some of the artists from our ""When I See Black"" film:\n\n""I wanna be able to own my narrative"" - @temi.coker. Since moving from Nigeria to the US, the multidisciplinary artist has been on a creative quest to do just that. Through his Poster a Day series, he showcases a dedication to celebrating Blackness.\n\nIn questioning why there was no one who looked like her in the shows she watched growing up, artist @4everestherr shaped her mission to help portray and promote the power of the ""everyday Black girl"" through her gorgeous and glossy illustration style. \n\nGabonese photographer @yannisdavy creates a technicolor world through his African Futurist work. Inspired by his matriarchal upbringing, he dreams for a bigger and better future. \n\nCheck out the link in our bio to watch the full film and meet the artists.'",0,0,3238,26,,,
